Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект №45-57L: панорамные окна в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/45-57L.mp4,Проекты домов с панорамными окнами,00:01,"Проект дома №45-57L. Видео показывает проект дома с панорамными окнами, его планы и фасады. Проект взят из подборки домов с панорамным остеклением на catalog-plans.ru. Параметры проекта: площадь 287,69 м²; 2 этажа; габариты 13.33×21 м; материал — кирпич; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/45-57L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7112_45-57l_blueprint_to_glass&utm_term=proekty-domov-s-panoramnymi-oknami,,"проект дома 45-57L, Проекты домов с панорамными окнами, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 287,69 м², кирпич, современный"
Дом №48-29: архитектура с окнами в пол,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/48-29.mp4,Дома с окнами в пол,00:01,"Проект дома №48-29. Ролик раскрывает архитектуру дома через свет, большие окна и виды фасадов. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 302 м²; 2 этажа; габариты 13.76×25 м; материал — кирпич; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/48-29?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7113_48-29_panoramic_light_story&utm_term=doma-s-oknami-v-pol,,"проект дома 48-29, Дома с окнами в пол, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 302 м², кирпич, европейский"
Проект дома №40-11: свет и панорамный вид,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/40-11.mp4,Панорамное остекление дома,00:01,"Проект дома №40-11. В технологичном обзоре собраны чертежи, визуализация и фасады проекта. Большие окна наполняют интерьер естественным светом и открывают вид на участок. Параметры проекта: площадь 251,15 м²; 2 этажа; габариты 13.76×14.8 м; материал — кирпич; стиль — европейский. Перейдите к карточке дома и оцените расположение окон на каждом фасаде.",https://catalog-plans.ru/catalog/40-11?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7114_40-11_glass_facade_scan&utm_term=panoramnoe-osteklenie-doma,,"проект дома 40-11, Панорамное остекление дома, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 251,15 м², кирпич, европейский"
Дом №58-10L: фасады с большим остеклением,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/58-10L.mp4,Современные светлые дома,00:01,"Проект дома №58-10L. Короткое видео помогает оценить масштаб остекления и связь дома с участком. План этажа помогает понять, какие помещения ориентированы на панорамный фасад. Параметры проекта: площадь 228,62 м²; 2 этажа; габариты 13.86×17.66 м; материал — газобетон; стиль — стиль Райта. Сравните этот вариант с другими домами из подборки с панорамным остеклением.",https://catalog-plans.ru/catalog/58-10L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7115_58-10l_window_wall_reveal&utm_term=sovremennye-svetlye-doma,,"проект дома 58-10L, Современные светлые дома, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 228,62 м², газобетон, стиль Райта"
Проект №57-21: панорамный фасад и планы,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/57-21.mp4,Фасады домов с большими окнами,00:01,"Проект дома №57-21. Видео показывает проект дома с панорамными окнами, его планы и фасады. Проект взят из подборки домов с панорамным остеклением на catalog-plans.ru. Параметры проекта: площадь 205,2 м²; 2 этажа; габариты 14.3×15.35 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/57-21?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7116_57-21_blueprint_to_glass&utm_term=fasady-domov-s-bolshimi-oknami,,"проект дома 57-21, Фасады домов с большими окнами, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 205,2 м², газобетон, современный"
Дом №36-65: окна в пол со всех сторон,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/36-65.mp4,Готовые проекты современных домов,00:01,"Проект дома №36-65. Ролик раскрывает архитектуру дома через свет, большие окна и виды фасадов. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 620,4 м²; 2 этажа; габариты 18.1×20.8 м; материал — кирпич; стиль — хай-тек. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/36-65?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7117_36-65_panoramic_light_story&utm_term=gotovye-proekty-sovremennyh-domov,,"проект дома 36-65, Готовые проекты современных домов, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 620,4 м², кирпич, хай-тек"
Проект №63-74: панорамные окна в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/63-74.mp4,Двухэтажные дома с панорамными окнами,00:01,"Проект дома №63-74. В технологичном обзоре собраны чертежи, визуализация и фасады проекта. Большие окна наполняют интерьер естественным светом и открывают вид на участок. Параметры проекта: площадь 239,9 м²; 2 этажа; габариты 10.77×19.6 м; материал — монолитный каркас; стиль — хай-тек. Перейдите к карточке дома и оцените расположение окон на каждом фасаде.",https://catalog-plans.ru/catalog/63-74?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7118_63-74_glass_facade_scan&utm_term=dvuhetazhnye-doma-s-panoramnymi-oknami,,"проект дома 63-74, Двухэтажные дома с панорамными окнами, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 239,9 м², монолитный каркас, хай-тек"
Дом №48-21: архитектура с окнами в пол,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/48-21.mp4,Проекты домов с панорамными окнами,00:01,"Проект дома №48-21. Короткое видео помогает оценить масштаб остекления и связь дома с участком. План этажа помогает понять, какие помещения ориентированы на панорамный фасад. Параметры проекта: площадь 255,48 м²; 2 этажа; габариты 13.76×15.94 м; материал — кирпич; стиль — современный. Сравните этот вариант с другими домами из подборки с панорамным остеклением.",https://catalog-plans.ru/catalog/48-21?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7119_48-21_window_wall_reveal&utm_term=proekty-domov-s-panoramnymi-oknami,,"проект дома 48-21, Проекты домов с панорамными окнами, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 255,48 м², кирпич, современный"
Проект дома №62-82L: свет и панорамный вид,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/62-82L.mp4,Дома с окнами в пол,00:01,"Проект дома №62-82L. Видео показывает проект дома с панорамными окнами, его планы и фасады. Проект взят из подборки домов с панорамным остеклением на catalog-plans.ru. Параметры проекта: площадь 344,15 м²; 2 этажа; габариты 20.07×21.99 м; материал — кирпич. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/62-82L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7120_62-82l_blueprint_to_glass&utm_term=doma-s-oknami-v-pol,,"проект дома 62-82L, Дома с окнами в пол, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 344,15 м², кирпич"
Дом №46-36: фасады с большим остеклением,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_39_panoramic_glazing_video/46-36.mp4,Панорамное остекление дома,00:01,"Проект дома №46-36. Ролик раскрывает архитектуру дома через свет, большие окна и виды фасадов. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 217 м²; 2 этажа; габариты 12.92×16.69 м; материал — кирпич. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/46-36?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_panoramic_glazing_video_batch_39&utm_content=pin_7121_46-36_panoramic_light_story&utm_term=panoramnoe-osteklenie-doma,,"проект дома 46-36, Панорамное остекление дома, дом с панорамными окнами, панорамное остекление, окна в пол, дом с большими окнами, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 217 м², кирпич"
