Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект №40-55GL: откройте все детали,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/40-55GL.mp4,Проекты частных домов,00:01,"Проект дома №40-55GL. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 197,5 м²; 2 этажа; габариты 14.4×14.4 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/40-55GL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8912_40-55gl_premium_choice&utm_term=proekty-chastnyh-domov,,"проект дома 40-55GL, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 197,5 м², газобетон, современный"
Дом №45-64RABAGL: полный обзор проекта,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/45-64RABAGL.mp4,Готовые проекты домов,00:01,"Проект дома №45-64RABAGL. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 402 м²; 2 этажа; габариты 14.29×25.32 м; материал — газобетон; стиль — стиль Райта. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/45-64RABAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8913_45-64rabagl_clean_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 45-64RABAGL, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 402 м², газобетон, стиль Райта"
Проект №46-08DABG: премиальный обзор,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/46-08DABG.mp4,Планировки загородных домов,00:01,"Проект дома №46-08DABG. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 380,72 м²; 2 этажа; габариты 11.99×24.68 м; материал — газобетон; стиль — хай-тек. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/46-08DABG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8914_46-08dabg_graphite_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 46-08DABG, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 380,72 м², газобетон, хай-тек"
Дом №57-74NKL: пространство для жизни,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/57-74NKL.mp4,Красивые фасады домов,00:01,"Проект дома №57-74NKL. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 308,64 м²; 2 этажа; габариты 16.13×19.44 м; материал — керамзитобетон; стиль — европейский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/57-74NKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8915_57-74nkl_modern_architecture&utm_term=krasivye-fasady-domov,,"проект дома 57-74NKL, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 308,64 м², керамзитобетон, европейский"
Проект №63-04L: архитектура в деталях,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/63-04L.mp4,Архитектура частного дома,00:01,"Проект дома №63-04L. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 167,64 м²; 2 этажа; габариты 10.45×11.95 м; материал — кирпич; стиль — скандинавский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/63-04L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8916_63-04l_premium_choice&utm_term=arhitektura-chastnogo-doma,,"проект дома 63-04L, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 167,64 м², кирпич, скандинавский"
Дом №64-14M: готовое решение,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/64-14M.mp4,Дома с планами и фасадами,00:01,"Проект дома №64-14M. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 207,31 м²; 2 этажа; габариты 15.36×17.74 м; материал — монолитный каркас; стиль — хай-тек. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/64-14M?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8917_64-14m_clean_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 64-14M, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 207,31 м², монолитный каркас, хай-тек"
Проект №40-84EGL: откройте все детали,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/40-84EGL.mp4,Двухэтажные проекты домов,00:01,"Проект дома №40-84EGL. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 313,02 м²; 2 этажа; габариты 21.11×23.71 м; материал — газобетон; стиль — хай-тек. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/40-84EGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8918_40-84egl_graphite_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 40-84EGL, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 313,02 м², газобетон, хай-тек"
Дом №59-62L: полный обзор проекта,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/59-62L.mp4,Проекты частных домов,00:01,"Проект дома №59-62L. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 163,59 м²; 2 этажа; габариты 10.96×11.57 м; материал — газобетон; стиль — европейский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/59-62L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8919_59-62l_modern_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 59-62L, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 163,59 м², газобетон, европейский"
Проект №57-03K: премиальный обзор,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/57-03K.mp4,Готовые проекты домов,00:01,"Проект дома №57-03K. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 187,18 м²; 2 этажа; габариты 10.67×13.82 м; материал — кирпич. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/57-03K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8920_57-03k_premium_choice&utm_term=gotovye-proekty-domov,,"проект дома 57-03K, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 187,18 м², кирпич"
Дом №57-74K: пространство для жизни,https://raw.githubusercontent.com/nemchenik/test/1ddeff2675df6722ac6e895b28109f9901890fbf/pinterest/generated_batch_48_premium_choice_video/57-74K.mp4,Планировки загородных домов,00:01,"Проект дома №57-74K. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 288,67 м²; 2 этажа; габариты 15.26×15.85 м; материал — кирпич; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/57-74K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_premium_choice_video_batch_48&utm_content=pin_8921_57-74k_clean_floor_plans&utm_term=planirovki-zagorodnyh-domov,,"проект дома 57-74K, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 288,67 м², кирпич, европейский"
