Warning: truncated output (original token count: 71539)
Total output lines: 201

﻿Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Дом №36-37: выразительная архитектура,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/36-37.mp4,Проекты частных домов,00:01,"Проект дома №36-37. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 551,3 м²; 3 этажа; габариты 23.7×31.8 м; материал — кирпич; стиль — европейский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/36-37?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8312_36-37_midnight_galaxy&utm_term=proekty-chastnyh-domov,,"проект дома 36-37, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 551,3 м², кирпич, европейский"
Проект №58-75: пространство и фасады,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/58-75.mp4,Готовые проекты домов,00:01,"Проект дома №58-75. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 176,43 м²; 2 этажа; габариты 10.4×10.4 м; материал — газобетон; стиль — английский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/58-75?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8313_58-75_cosmic_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 58-75, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 176,43 м², газобетон, английский"
Архитектурная история дома №58-49BL,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/58-49BL.mp4,Планировки загородных домов,00:01,"Проект дома №58-49BL. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 192,23 м²; 2 этажа; габариты 12.8×13.25 м; материал — газобетон. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/58-49BL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8314_58-49bl_lavender_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 58-49BL, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 192,23 м², газобетон"
Дом №50-99: полный обзор планировки,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/50-99.mp4,Красивые фасады домов,00:01,"Проект дома №50-99. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 267,2 м²; 2 этажа; габариты 14.4×15.3 м; материал — 0. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/50-99?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8315_50-99_midnight_architecture&utm_term=krasivye-fasady-domov,,"проект дома 50-99, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 267,2 м², 0"
Проект №45-76TGL: фасады крупным планом,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/45-76TGL.mp4,Архитектура частного дома,00:01,"Проект дома №45-76TGL. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 279,85 м²; 2 этажа; габариты 10.82×13.96 м; материал — газобетон; стиль — шале. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/45-76TGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8316_45-76tgl_midnight_galaxy&utm_term=arhitektura-chastnogo-doma,,"проект дома 45-76TGL, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 279,85 м², газобетон, шале"
Дом с характером №71-16,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/71-16.mp4,Дома с планами и фасадами,00:01,"Проект дома №71-16. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 197,58 м²; 2 этажа; габариты 13.36×15.27 м; материал — деревянный каркас; стиль — барнхаус. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/71-16?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8317_71-16_cosmic_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 71-16, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 197,58 м², деревянный каркас, барнхаус"
Дом №58-16AEL: выразительная архитектура,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/58-16AEL.mp4,Двухэтажные проекты домов,00:01,"Проект дома №58-16AEL. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 129,99 м²; 2 этажа; габариты 10.4×10.4 м; материал — газобетон; стиль — современный. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/58-16AEL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8318_58-16ael_lavender_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 58-16AEL, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 129,99 м², газобетон, современный"
Проект №13-99A: пространство и фасады,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/13-99A.mp4,Проекты частных домов,00:01,"Проект дома №13-99A. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 138,39 м²; 2 этажа; габариты 7.53×12.15 м; материал — дерево. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/13-99A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8319_13-99a_midnight_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 13-99A, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 138,39 м², дерево"
Архитектурная история дома №57-02DAK,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/57-02DAK.mp4,Готовые проекты домов,00:01,"Проект дома №57-02DAK. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 228,29 м²; 2 этажа; габариты 10.02×11.02 м; материал — кирпич; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/57-02DAK?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8320_57-02dak_midnight_galaxy&utm_term=gotovye-proekty-domov,,"проект дома 57-02DAK, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 228,29 м², кирпич, современный"
Дом №59-97: полный обзор планировки,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_45_midnight_galaxy_video/59-97.mp4,Планировки загородных домов,00:01,"Проект дома №59-97. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 150,6 м²; 2 этажа; габариты 10.4×11.5 м; материал — газобетон; стиль — скандинавский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/59-97?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_midnight_galaxy_video_batch_45&utm_content=pin_8321_59-97_cosmic_floor_plans&utm_term=planirovki-zagorodnyh-domov,,"проект дома 59-97, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 150,6 м², газобетон, скандинавский"
