Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №69-48: дом, планы и фасады в видео",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-48.mp4,Видео проектов домов,00:01,"Проект дома №69-48. Короткое видео начинает с реального дома, затем показывает поэтажные планы и фасады проекта. Все изображения планов и фасадов взяты непосредственно со страницы этого проекта на catalog-plans.ru. Параметры проекта: площадь 124,59 м²; 1 этаж; габариты 11×16.9 м; материал — газобетон; стиль — современный. После перехода на сайт доступны остальные планы, фасады, размеры и подробные характеристики.",https://catalog-plans.ru/catalog/69-48?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6712_69-48_house_to_plan_to_facade&utm_term=video-proektov-domov,,"проект дома 69-48, Видео проектов домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 124,59 м², газобетон, современный"
Дом №68-49A: видео с планировками и фасадами,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/68-49A.mp4,Планировки и фасады домов,00:01,"Проект дома №68-49A. В ролике фасад дома плавно сменяется настоящими планировками и архитектурными проекциями. В видео используются не условные схемы, а реальные изображения из карточки соответствующего проекта. Параметры проекта: площадь 138,06 м²; 1 этаж; габариты 10.75×16.7 м; материал — газобетон; стиль — европейский. Откройте карточку проекта, чтобы рассмотреть изображения крупнее и изучить состав документации.",https://catalog-plans.ru/catalog/68-49A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6713_68-49a_house_plan_facade_loop&utm_term=planirovki-i-fasady-domov,,"проект дома 68-49A, Планировки и фасады домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 138,06 м², газобетон, европейский"
Проект №62-71BANBA: от фасада к планам этажей,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/62-71BANBA.mp4,Проекты домов с планами этажей,00:01,"Проект дома №62-71BANBA. Видео раскрывает проект по шагам: визуализация дома, планы этажей и фасады со всех сторон. Такой формат помогает быстро оценить и внешний вид, и устройство этажей до перехода на сайт. Параметры проекта: площадь 178,23 м²; 2 этажа; габариты 11×11.3 м; материал — газобетон; стиль — хай-тек. На catalog-plans.ru можно проверить все этажи, фасады, габариты и параметры строительства.",https://catalog-plans.ru/catalog/62-71BANBA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6714_62-71banba_plans_and_elevations&utm_term=proekty-domov-s-planami-etazhey,,"проект дома 62-71BANBA, Проекты домов с планами этажей, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 178,23 м², газобетон, хай-тек"
Дом №59-92Q: планы и фасады в коротком видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/59-92Q.mp4,Фасады частных домов,00:01,"Проект дома №59-92Q. Сначала показан внешний вид дома, затем — реальные рабочие изображения планов и фасадов с сайта. Планы и фасады позволяют понять проект глубже, чем одна визуализация дома в ленте Pinterest. Параметры проекта: площадь 163,79 м²; 2 этажа; габариты 10.3×12.7 м; материал — газобетон; стиль — современный. Перейдите к проекту, чтобы изучить планировку, сравнить фасады и оценить посадку на участок.",https://catalog-plans.ru/catalog/59-92Q?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6715_59-92q_project_reveal&utm_term=fasady-chastnyh-domov,,"проект дома 59-92Q, Фасады частных домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 163,79 м², газобетон, современный"
Проект дома №62-07AH: видео-разбор планировки,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/62-07AH.mp4,Готовые проекты домов с чертежами,00:01,"Проект дома №62-07AH. Динамическая карточка помогает увидеть связь между архитектурой дома и его внутренней планировкой. Движение привлекает внимание, а реальные чертежи делают видеопин полезным для выбора проекта. Параметры проекта: площадь 177,99 м²; 2 этажа; габариты 11.05×12.3 м; материал — газобетон; стиль — европейский. В полной карточке доступны дополнительные ракурсы, планы этажей и сведения по проекту.",https://catalog-plans.ru/catalog/62-07AH?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6716_62-07ah_house_to_plan_to_facade&utm_term=gotovye-proekty-domov-s-chertezhami,,"проект дома 62-07AH, Готовые проекты домов с чертежами, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 177,99 м², газобетон, европейский"
"Дом №58-70JAB: фасад, планы этажей и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/58-70JAB.mp4,Проекты домов с размерами,00:01,"Проект дома №58-70JAB. Ролик превращает статичную карточку в короткий обзор реальных планов и фасадов проекта. За несколько секунд можно сопоставить архитектуру, этажность, размеры и расположение помещений. Параметры проекта: площадь 173,15 м²; 2 этажа; габариты 11.8×13.9 м; материал — газобетон; стиль — шале. На сайте можно посмотреть проект целиком и перейти к расчёту строительства или изменениям.",https://catalog-plans.ru/catalog/58-70JAB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6717_58-70jab_house_plan_facade_loop&utm_term=proekty-domov-s-razmerami,,"проект дома 58-70JAB, Проекты домов с размерами, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 173,15 м², газобетон, шале"
Проект №64-45MKB: смотрите дом изнутри и снаружи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/64-45MKB.mp4,Двухэтажные дома с планировкой,00:01,"Проект дома №64-45MKB. Видеопин показывает, как внешний образ дома связан с расположением помещений и фасадными решениями. Видео удобно для первичного сравнения проектов по фасадам и планировочным решениям. Параметры проекта: площадь 278,38 м²; 2 этажа; габариты 9.98×13.68 м; материал — монолитный каркас; стиль — хай-тек. Откройте проект, чтобы сверить размеры комнат, фасады и ключевые характеристики дома.",https://catalog-plans.ru/catalog/64-45MKB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6718_64-45mkb_plans_and_elevations&utm_term=dvuhetazhnye-doma-s-planirovkoy,,"проект дома 64-45MKB, Двухэтажные дома с планировкой, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 278,38 м², монолитный каркас, хай-тек"
Дом №48-79G: видео проекта с реальными чертежами,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/48-79G.mp4,Планы одноэтажных домов,00:01,"Проект дома №48-79G. Проект раскрывается последовательно: дом, планировки этажей, фасады и возврат к главной карточке. Реальные планы и фасады помогают быстрее решить, стоит ли открывать проект целиком. Параметры проекта: площадь 121,76 м²; 1 этаж; габариты 13.05×14.79 м; материал — газобетон; стиль — европейский. После клика вы увидите все доступные планы и архитектурные проекции в полном размере.",https://catalog-plans.ru/catalog/48-79G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6719_48-79g_project_reveal&utm_term=plany-odnoetazhnyh-domov,,"проект дома 48-79G, Планы одноэтажных домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 121,76 м², газобетон, европейский"
"Проект дома №48-78K2: дом, планы и фасады в видео",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/48-78K2.mp4,Планы кирпичных домов,00:01,"Проект дома №48-78K2. Короткое видео начинает с реального дома, затем показывает поэтажные планы и фасады проекта. Все изображения планов и фасадов взяты непосредственно со страницы этого проекта на catalog-plans.ru. Параметры проекта: площадь 106,68 м²; 2 этажа; габариты 8.58×9.78 м; материал — кирпич. После перехода на сайт доступны остальные планы, фасады, размеры и подробные характеристики.",https://catalog-plans.ru/catalog/48-78K2?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6720_48-78k2_house_to_plan_to_facade&utm_term=plany-kirpichnyh-domov,,"проект дома 48-78K2, Планы кирпичных домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 106,68 м², кирпич"
Дом №69-37: видео с планировками и фасадами,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-37.mp4,Фасады домов из газобетона,00:01,"Проект дома №69-37. В ролике фасад дома плавно сменяется настоящими планировками и архитектурными проекциями. В видео используются не условные схемы, а реальные изображения из карточки соответствующего проекта. Параметры проекта: площадь 123,16 м²; 1 этаж; габариты 9.1×18.4 м; материал — газобетон; стиль — барнхаус. Откройте карточку проекта, чтобы рассмотреть изображения крупнее и изучить состав документации.",https://catalog-plans.ru/catalog/69-37?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6721_69-37_house_plan_facade_loop&utm_term=fasady-domov-iz-gazobetona,,"проект дома 69-37, Фасады домов из газобетона, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 123,16 м², газобетон, барнхаус"
Проект №69-30: от фасада к планам этажей,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-30.mp4,Видео проектов домов,00:01,"Проект дома №69-30. Видео раскрывает проект по шагам: визуализация дома, планы этажей и фасады со всех сторон. Такой формат помогает быстро оценить и внешний вид, и устройство этажей до перехода на сайт. Параметры проекта: площадь 93,85 м²; 2 этажа; габариты 7×9.7 м; материал — газобетон; стиль — скандинавский. На catalog-plans.ru можно проверить все этажи, фасады, габариты и параметры строительства.",https://catalog-plans.ru/catalog/69-30?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6722_69-30_plans_and_elevations&utm_term=video-proektov-domov,,"проект дома 69-30, Видео проектов домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 93,85 м², газобетон, скандинавский"
Дом №69-29: планы и фасады в коротком видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-29.mp4,Современные фасады домов,00:01,"Проект дома №69-29. Сначала показан внешний вид дома, затем — реальные рабочие изображения планов и фасадов с сайта. Планы и фасады позволяют понять проект глубже, чем одна визуализация дома в ленте Pinterest. Параметры проекта: площадь 124,85 м²; 1 этаж; габариты 12.8×14.2 м; материал — газобетон; стиль — современный. Перейдите к проекту, чтобы изучить планировку, сравнить фасады и оценить посадку на участок.",https://catalog-plans.ru/catalog/69-29?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6723_69-29_project_reveal&utm_term=sovremennye-fasady-domov,,"проект дома 69-29, Современные фасады домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 124,85 м², газобетон, современный"
Проект дома №69-28: видео-разбор планировки,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-28.mp4,Проекты домов с планами этажей,00:01,"Проект дома №69-28. Динамическая карточка помогает увидеть связь между архитектурой дома и его внутренней планировкой. Движение привлекает внимание, а реальные чертежи делают видеопин полезным для выбора проекта. Параметры проекта: площадь 126,51 м²; 2 этажа; габариты 8.7×13.2 м; материал — газобетон; стиль — скандинавский. В полной карточке доступны дополнительные ракурсы, планы этажей и сведения по проекту.",https://catalog-plans.ru/catalog/69-28?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6724_69-28_house_to_plan_to_facade&utm_term=proekty-domov-s-planami-etazhey,,"проект дома 69-28, Проекты домов с планами этажей, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 126,51 м², газобетон, скандинавский"
"Дом №69-27: фасад, планы этажей и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_37_house_plan_facade_video/69-27.mp4,Фасады частных домов,00:01,"Проект дома №69-27. Ролик превращает статичную карточку в короткий обзор реальных планов и фасадов проекта. За несколько секунд можно сопоставить архитектуру, этажность, размеры и расположение помещений. Параметры проекта: площадь 97,43 м²; 1 этаж; габариты 8.7×14.5 м; материал — газобетон; стиль — скандинавский. На сайте можно посмотреть проект целиком и перейти к расчёту строительства или изменениям.",https://catalog-plans.ru/catalog/69-27?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_plan_facade_video_batch_37&utm_content=pin_6725_69-27_house_plan_facade_loop&utm_term=fasady-chastnyh-domov,,"проект дома 69-27, Фасады частных домов, видео проекта дома, реальные планы дома, поэтажные планы, фасады дома, архитектурные фасады, готовый проект дома, catalog-plans.ru, дом 97,43 м², газобетон, скандинавский"
