Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Дом №63-00L: архитектура в природной палитре,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/63-00L.mp4,Проекты частных домов,00:01,"Проект дома №63-00L. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 117,22 м²; 1 этаж; габариты 13.5×17.03 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/63-00L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8512_63-00l_botanical_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 63-00L, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 117,22 м², газобетон, современный"
Проект №48-21EAG: комфортная планировка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/48-21EAG.mp4,Готовые проекты домов,00:01,"Проект дома №48-21EAG. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 293,79 м²; 2 этажа; габариты 13.68×15.8 м; материал — газобетон; стиль — современный. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/48-21EAG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8513_48-21eag_organic_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 48-21EAG, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 293,79 м², газобетон, современный"
Загородный дом №57-82BL: полный обзор,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/57-82BL.mp4,Планировки загородных домов,00:01,"Проект дома №57-82BL. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 364,5 м²; 2 этажа; габариты 15.9×21.45 м; материал — газобетон; стиль — шале. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/57-82BL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8514_57-82bl_natural_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 57-82BL, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 364,5 м², газобетон, шале"
"Дом №57-21KL1: свет, пространство и фасады",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/57-21KL1.mp4,Красивые фасады домов,00:01,"Проект дома №57-21KL1. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 192,37 м²; 2 этажа; габариты 14.05×15.15 м; материал — кирпич; стиль — современный. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/57-21KL1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8515_57-21kl1_green_architecture&utm_term=krasivye-fasady-domov,,"проект дома 57-21KL1, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 192,37 м², кирпич, современный"
Проект №49-27: гармония формы и природы,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/49-27.mp4,Архитектура частного дома,00:01,"Проект дома №49-27. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 221,2 м²; 2 этажа; габариты 8.7×14.7 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/49-27?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8516_49-27_botanical_architecture&utm_term=arhitektura-chastnogo-doma,,"проект дома 49-27, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 221,2 м², газобетон, современный"
Тёплый загородный дом №58-56A,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/58-56A.mp4,Дома с планами и фасадами,00:01,"Проект дома №58-56A. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 66,46 м²; 2 этажа; габариты 7.5×10 м; материал — газобетон; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/58-56A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8517_58-56a_organic_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 58-56A, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 66,46 м², газобетон, европейский"
Дом №62-35L: архитектура в природной палитре,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/62-35L.mp4,Двухэтажные проекты домов,00:01,"Проект дома №62-35L. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 374,55 м²; 2 этажа; габариты 11.54×19 м; материал — газобетон; стиль — современный. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/62-35L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8518_62-35l_natural_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 62-35L, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 374,55 м², газобетон, современный"
Проект №58-70ABL: комфортная планировка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/58-70ABL.mp4,Проекты частных домов,00:01,"Проект дома №58-70ABL. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 148,88 м²; 1 этаж; габариты 12.3×19.2 м; материал — газобетон; стиль — шале. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/58-70ABL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8519_58-70abl_green_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 58-70ABL, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 148,88 м², газобетон, шале"
Загородный дом №64-33: полный обзор,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/64-33.mp4,Готовые проекты домов,00:01,"Проект дома №64-33. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 135,52 м²; 2 этажа; габариты 10.4×10.6 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/64-33?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8520_64-33_botanical_architecture&utm_term=gotovye-proekty-domov,,"проект дома 64-33, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 135,52 м², газобетон, современный"
"Дом №45-64NZB: свет, пространство и фасады",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_46_botanical_architecture_video/45-64NZB.mp4,Планировки загородных домов,00:01,"Проект дома №45-64NZB. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 221,22 м²; 2 этажа; габариты 12.1×14 м; материал — газобетон; стиль — стиль Райта. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/45-64NZB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_botanical_architecture_video_batch_46&utm_content=pin_8521_45-64nzb_organic_floor_plans&utm_term=planirovki-zagorodnyh-domov,,"проект дома 45-64NZB, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 221,22 м², газобетон, стиль Райта"
