Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект №58-84: дом с мастер-спальней в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/58-84.mp4,Проекты домов с мастер-спальней,00:01,"Проект дома №58-84. Видео показывает дом, его фасады и планировку с мастер-спальней. Проект взят из подборки домов с мастер-спальней на catalog-plans.ru. Параметры проекта: площадь 156,38 м²; 1 этаж; габариты 12×16.5 м; материал — газобетон; стиль — скандинавский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/58-84?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6912_58-84_master_suite_reveal&utm_term=proekty-domov-s-master-spalney,,"проект дома 58-84, Проекты домов с мастер-спальней, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 156,38 м², газобетон, скандинавский"
Дом №62-72: планировка с приватной спальней,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/62-72.mp4,Планировки домов с мастер-спальней,00:01,"Проект дома №62-72. Ролик начинается с архитектуры дома и переходит к приватной зоне планировки. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 273,37 м²; 2 этажа; габариты 15.91×16.81 м; материал — газобетон; стиль — хай-тек. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/62-72?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6913_62-72_facade_to_private_zone&utm_term=planirovki-domov-s-master-spalney,,"проект дома 62-72, Планировки домов с мастер-спальней, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 273,37 м², газобетон, хай-тек"
Проект дома №40-86L: мастер-спальня и фасады,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/40-86L.mp4,Мастер-спальня в частном доме,00:01,"Проект дома №40-86L. В коротком обзоре собраны визуализация, фасады и реальный поэтажный план. Мастер-спальня создаёт отдельную приватную зону для владельцев дома. Параметры проекта: площадь 250,91 м²; 2 этажа; габариты 10.46×23.13 м; материал — кирпич; стиль — хай-тек. Перейдите к карточке дома и проверьте, подходит ли планировка вашей семье.",https://catalog-plans.ru/catalog/40-86L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6914_40-86l_family_plan_story&utm_term=master-spalnya-v-chastnom-dome,,"проект дома 40-86L, Мастер-спальня в частном доме, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 250,91 м², кирпич, хай-тек"
Дом №62-38: видео планировки для семьи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/62-38.mp4,Дома для семьи с планировкой,00:01,"Проект дома №62-38. Новый формат помогает оценить дом и расположение мастер-спальни в общей планировке. План этажа помогает сопоставить приватную спальню с остальными помещениями. Параметры проекта: площадь 237,5 м²; 2 этажа; габариты 12.9×18.7 м; материал — газобетон; стиль — шале. Сравните этот вариант с другими домами из подборки с мастер-спальней.",https://catalog-plans.ru/catalog/62-38?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6915_62-38_master_bedroom_focus&utm_term=doma-dlya-semi-s-planirovkoy,,"проект дома 62-38, Дома для семьи с планировкой, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 237,5 м², газобетон, шале"
Проект №58-87: фасады и мастер-спальня,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/58-87.mp4,Фасады домов с планами,00:01,"Проект дома №58-87. Видео показывает дом, его фасады и планировку с мастер-спальней. Проект взят из подборки домов с мастер-спальней на catalog-plans.ru. Параметры проекта: площадь 192,64 м²; 2 этажа; габариты 11.5×14.8 м; материал — газобетон; стиль — стиль Райта. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/58-87?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6916_58-87_master_suite_reveal&utm_term=fasady-domov-s-planami,,"проект дома 58-87, Фасады домов с планами, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 192,64 м², газобетон, стиль Райта"
Дом №65-49: приватная зона в планировке,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/65-49.mp4,Готовые проекты домов с чертежами,00:01,"Проект дома №65-49. Ролик начинается с архитектуры дома и переходит к приватной зоне планировки. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 177,85 м²; 2 этажа; габариты 10.15×12.3 м; материал — газобетон; стиль — барнхаус. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/65-49?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6917_65-49_facade_to_private_zone&utm_term=gotovye-proekty-domov-s-chertezhami,,"проект дома 65-49, Готовые проекты домов с чертежами, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 177,85 м², газобетон, барнхаус"
Проект №65-65: дом с мастер-спальней в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/65-65.mp4,Двухэтажные дома с мастер-спальней,00:01,"Проект дома №65-65. В коротком обзоре собраны визуализация, фасады и реальный поэтажный план. Мастер-спальня создаёт отдельную приватную зону для владельцев дома. Параметры проекта: площадь 277,51 м²; 2 этажа; габариты 14.05×16.55 м; материал — газобетон; стиль — барнхаус. Перейдите к карточке дома и проверьте, подходит ли планировка вашей семье.",https://catalog-plans.ru/catalog/65-65?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6918_65-65_family_plan_story&utm_term=dvuhetazhnye-doma-s-master-spalney,,"проект дома 65-65, Двухэтажные дома с мастер-спальней, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 277,51 м², газобетон, барнхаус"
Дом №65-57: планировка с приватной спальней,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/65-57.mp4,Проекты домов с мастер-спальней,00:01,"Проект дома №65-57. Новый формат помогает оценить дом и расположение мастер-спальни в общей планировке. План этажа помогает сопоставить приватную спальню с остальными помещениями. Параметры проекта: площадь 225,68 м²; 2 этажа; габариты 13.9×13.95 м; материал — газобетон; стиль — барнхаус. Сравните этот вариант с другими домами из подборки с мастер-спальней.",https://catalog-plans.ru/catalog/65-57?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6919_65-57_master_bedroom_focus&utm_term=proekty-domov-s-master-spalney,,"проект дома 65-57, Проекты домов с мастер-спальней, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 225,68 м², газобетон, барнхаус"
Проект дома №65-35M: мастер-спальня и фасады,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/65-35M.mp4,Планировки домов с мастер-спальней,00:01,"Проект дома №65-35M. Видео показывает дом, его фасады и планировку с мастер-спальней. Проект взят из подборки домов с мастер-спальней на catalog-plans.ru. Параметры проекта: площадь 392,04 м²; 2 этажа; габариты 18.61×20 м; материал — монолитный каркас; стиль — хай-тек. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/65-35M?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6920_65-35m_master_suite_reveal&utm_term=planirovki-domov-s-master-spalney,,"проект дома 65-35M, Планировки домов с мастер-спальней, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 392,04 м², монолитный каркас, хай-тек"
Дом №63-70: видео планировки для семьи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_38_master_bedroom_video/63-70.mp4,Мастер-спальня в частном доме,00:01,"Проект дома №63-70. Ролик начинается с архитектуры дома и переходит к приватной зоне планировки. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 378,75 м²; 2 этажа; габариты 17.95×20.4 м; материал — монолитный каркас; стиль — хай-тек. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/63-70?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_master_bedroom_video_batch_38&utm_content=pin_6921_63-70_facade_to_private_zone&utm_term=master-spalnya-v-chastnom-dome,,"проект дома 63-70, Мастер-спальня в частном доме, дом с мастер-спальней, планировка с мастер-спальней, приватная спальня, гардеробная при спальне, поэтажные планы, фасады дома, готовый проект дома, catalog-plans.ru, дом 378,75 м², монолитный каркас, хай-тек"
