Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №13-59: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/13-59.jpg,Проекты домов до 100 м²,,"Проект дома №13-59. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 89,17 м²; 2 этажа; габариты 7×8 м; материал — дерево; стиль — европейский. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/13-59?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5512_13-59_plans&utm_term=proekty-domov-do-100-m,,"проект дома 13-59, проект №13-59, Проекты домов до 100 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 89,17 м², дом дерево, дом европейский, catalog-plans.ru"
Дом №13-69: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/13-69.jpg,Маленькие проекты домов,,"Проект дома №13-69. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 85,81 м²; 2 этажа; габариты 8×8 м; материал — дерево; стиль — американский. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/13-69?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5513_13-69_compare&utm_term=malenkie-proekty-domov,,"проект дома 13-69, проект №13-69, Маленькие проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 85,81 м², дом дерево, дом американский, catalog-plans.ru"
"Проект №40-04: фасады, размеры и планировка",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04.jpg,Двухэтажные проекты домов,,"Проект дома №40-04. На обложке — исходное изображение этого дома с сайта catalog-plans.ru. Карточка ускоряет сравнение домов между собой и облегчает выбор в ленте Pinterest. Параметры проекта: площадь 126,88 м²; 2 этажа; габариты 9.62×10.12 м; материал — кирпич; стиль — европейский. Для выбора дома под постоянное проживание такой формат очень удобен. В карточке проекта на сайте вы увидите планы, фасады, размеры и другие детали.",https://catalog-plans.ru/catalog/40-04?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5514_40-04_site&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 40-04, проект №40-04, Двухэтажные проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 126,88 м², дом кирпич, дом европейский, catalog-plans.ru"
Дом №40-04A: открыть характеристики проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04A.jpg,Проекты домов 2 этажа,,"Проект дома №40-04A. Для карточки взята реальная визуализация проекта с catalog-plans.ru. Так проще понять, стоит ли открывать проект подробнее и сохранять его в доску. Параметры проекта: площадь 133,2 м²; 2 этажа; габариты 9.35×9.9 м; материал — газобетон; стиль — европейский. Так проще не потерять интересный проект и вернуться к нему позже. После перехода откроются планы этажей, архитектурные виды и основные параметры проекта.",https://catalog-plans.ru/catalog/40-04A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5515_40-04a_facades&utm_term=proekty-domov-2-etazha,,"проект дома 40-04A, проект №40-04A, Проекты домов 2 этажа, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 133,2 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04ABF: оценить метраж и фасад,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04ABF.jpg,Проекты домов из газобетона,,"Проект дома №40-04ABF. Пин собран на основе канонического изображения дома из catalog-plans.ru. Пин даёт быстрый предпросмотр фасада и ключевых характеристик проекта. Параметры проекта: площадь 193,71 м²; 2 этажа; габариты 9.9×15.4 м; материал — газобетон; стиль — европейский. Если подбираете дом под участок, такой предпросмотр экономит время. На сайте можно проверить планировку, размеры, фасады и дополнительные характеристики.",https://catalog-plans.ru/catalog/40-04ABF?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5516_40-04abf_estimate&utm_term=proekty-domov-iz-gazobetona,,"проект дома 40-04ABF, проект №40-04ABF, Проекты домов из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 193,71 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04AH: сравнить внешний вид и параметры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04AH.jpg,Проекты домов из газоблока,,"Проект дома №40-04AH. На превью размещён реальный фасад проекта из карточки дома на catalog-plans.ru. Это хороший способ быстро оценить архитектурный образ и основные цифры проекта. Параметры проекта: площадь 134,46 м²; 2 этажа; габариты 9.4×9.9 м; материал — газобетон; стиль — европейский. Карточка хорошо работает для быстрого визуального сравнения проектов. Карточка проекта содержит планы, фасады, параметры и сведения для осознанного выбора.",https://catalog-plans.ru/catalog/40-04AH?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5517_40-04ah_changes&utm_term=proekty-domov-iz-gazobloka,,"проект дома 40-04AH, проект №40-04AH, Проекты домов из газоблока, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,46 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект №40-04B: проверить размеры дома,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04B.jpg,Европейские проекты домов,,"Проект дома №40-04B. В основе этого пина лежит исходная визуализация дома с catalog-plans.ru. Такой формат делает выбор проекта более наглядным и быстрым. Параметры проекта: площадь 132,44 м²; 2 этажа; габариты 9.5×10 м; материал — газобетон; стиль — европейский. Это удобно, когда вы хотите видеть и фасад, и основные цифры в одном кадре. На странице проекта вы сможете сравнить параметры, посмотреть планы и оценить фасады.",https://catalog-plans.ru/catalog/40-04B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5518_40-04b_plans&utm_term=evropeyskie-proekty-domov,,"проект дома 40-04B, проект №40-04B, Европейские проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,44 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04BBAK: архитектура и основные данные,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04BBAK.jpg,Проекты домов в европейском стиле,,"Проект дома №40-04BBAK. Карточка использует настоящий фасад проекта, опубликованный на catalog-plans.ru. Карточка позволяет сразу увидеть проект, номер и базовые параметры дома. Параметры проекта: площадь 174,45 м²; 2 этажа; габариты 10×12 м; материал — кирпич; стиль — европейский. Пин рассчитан на быстрый переход к полному описанию проекта на сайте. Дальше на сайте доступен полный набор данных: планы, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04BBAK?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5519_40-04bbak_compare&utm_term=proekty-domov-v-evropeyskom-stile,,"проект дома 40-04BBAK, проект №40-04BBAK, Проекты домов в европейском стиле, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 174,45 м², дом кирпич, дом европейский, catalog-plans.ru"
"Проект дома №40-04BEA: планы, фасады и размеры",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04BEA.jpg,Проекты частных домов с планировкой,,"Проект дома №40-04BEA. На превью показана реальная визуализация дома с catalog-plans.ru. Такой формат помогает быстро сопоставить внешний вид, площадь и параметры дома. Параметры проекта: площадь 148,24 м²; 2 этажа; габариты 10.26×10.26 м; материал — газобетон; стиль — европейский. Такой пин особенно полезен, когда вы сравниваете сразу несколько вариантов. После перехода на сайт можно изучить планы этажей, фасады, размеры и характеристики.",https://catalog-plans.ru/catalog/40-04BEA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5520_40-04bea_site&utm_term=proekty-chastnyh-domov-s-planirovkoy,,"проект дома 40-04BEA, проект №40-04BEA, Проекты частных домов с планировкой, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 148,24 м², дом газобетон, дом европейский, catalog-plans.ru"
Дом №40-04BWW: посмотреть параметры и проект,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_31_static_fixed/40-04BWW.jpg,Проекты домов с размерами,,"Проект дома №40-04BWW. В карточке использован настоящий фасад проекта из каталога catalog-plans.ru. Это удобно для первого отбора проектов ещё до детального просмотра на сайте. Параметры проекта: площадь 158,33 м²; 2 этажа; габариты 10.1×11.1 м; материал — газобетон; стиль — хай-тек. Это помогает быстрее решить, подходит ли проект по стилю и масштабу. На странице проекта доступны планировка, фасады, габариты и состав документации.",https://catalog-plans.ru/catalog/40-04BWW?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_static_fixed_batch_31&utm_content=pin_5521_40-04bww_facades&utm_term=proekty-domov-s-razmerami,,"проект дома 40-04BWW, проект №40-04BWW, Проекты домов с размерами, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 158,33 м², дом газобетон, дом хай-тек, catalog-plans.ru"
