Warning: truncated output (original token count: 71455)
Total output lines: 201

﻿Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект №14-09K2 — планы и фасады,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/14-09K2.mp4,Проекты частных домов,00:01,"Проект дома №14-09K2. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 213,39 м²; 1 этаж; габариты 15.48×18.58 м; материал — кирпич. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/14-09K2?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8112_14-09k2_modern_minimal&utm_term=proekty-chastnyh-domov,,"проект дома 14-09K2, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 213,39 м², кирпич"
Современный дом №14-18: полный обзор,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/14-18.mp4,Готовые проекты домов,00:01,"Проект дома №14-18. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 72,27 м²; 2 этажа; габариты 6.6×9 м; материал — дерево; стиль — скандинавский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/14-18?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8113_14-18_clean_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 14-18, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 72,27 м², дерево, скандинавский"
Архитектура дома №15-05 без лишнего,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/15-05.mp4,Планировки загородных домов,00:01,"Проект дома №15-05. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 216 м²; 2 этажа; габариты 14×16 м; материал — дерево; стиль — скандинавский. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/15-05?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8114_15-05_graphite_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 15-05, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 216 м², дерево, скандинавский"
Дом №15-06: планировка и пропорции,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/15-06.mp4,Красивые фасады домов,00:01,Проект дома №15-06. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 91 м²; 1 этаж; габариты 10×13 м; материал — дерево. Сохраните вариант и сравните его с другими проектами из каталога.,https://catalog-plans.ru/catalog/15-06?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8115_15-06_modern_architecture&utm_term=krasivye-fasady-domov,,"проект дома 15-06, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 91 м², дерево"
Проект №32-12: четыре фасада дома,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/32-12.mp4,Архитектура частного дома,00:01,"Проект дома №32-12. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 598,1 м²; 2 этажа; габариты 20.54×24.55 м; материал — кирпич. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/32-12?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8116_32-12_modern_minimal&utm_term=arhitektura-chastnogo-doma,,"проект дома 32-12, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 598,1 м², кирпич"
Дом №32-31: визуализация и планы,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/32-31.mp4,Дома с планами и фасадами,00:01,"Проект дома №32-31. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 213 м²; 2 этажа; габариты 11×19.22 м; материал — кирпич; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/32-31?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8117_32-31_clean_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 32-31, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 213 м², кирпич, европейский"
Проект №32-53 — планы и фасады,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/32-53.mp4,Двухэтажные проекты домов,00:01,"Проект дома №32-53. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 315,3 м²; 2 этажа; габариты 8.76×17.68 м; материал — кирпич. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/32-53?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8118_32-53_graphite_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 32-53, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 315,3 м², кирпич"
Современный дом №32-55: полный обзор,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/32-55.mp4,Проекты частных домов,00:01,"Проект дома №32-55. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 437,8 м²; 2 этажа; габариты 12×13.8 м; материал — кирпич; стиль — американский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/32-55?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8119_32-55_modern_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 32-55, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 437,8 м², кирпич, американский"
Архитектура дома №32-77 без лишнего,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/32-77.mp4,Готовые проекты домов,00:01,"Проект дома №32-77. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 466 м²; 2 этажа; габариты 20.74×26.14 м; материал — кирпич. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/32-77?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8120_32-77_modern_minimal&utm_term=gotovye-proekty-domov,,"проект дома 32-77, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 466 м², кирпич"
Дом №33-24: планировка и пропорции,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/33-24.mp4,Планировки загородных домов,00:01,"Проект дома №33-24. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 228,5 м²; 2 этажа; габариты 11.1×13.5 м; материал — кирпич. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/33-24?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8121_33-24_clean_floor_plans&utm_term=planirovki-zagorodnyh-domov,,"проект дома 33-24, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 228,5 м², кирпич"
Проект №34-60: четыре фасада дома,https://raw.githubusercontent.com/nemchenik/test/f625fd5c3f91d191020b8fbbe061d7dba05941e0/pinterest/generated_batch_44_modern_minimal_video/34-60.mp4,Красивые фасады домов,00:01,"Проект дома №34-60. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 144,64 м²; 2 этажа; габариты 10.2×10.2 м; материал — кирпич; стиль — современный. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/34-60?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_modern_minimal_video_batch_44&utm_content=pin_8122_34-60_graphite_facades&utm_term=krasivye-fasady-domov,,"проект дома 34-60, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 144,64 м², кирпич, современный"
