Warning: truncated output (original token count: 70854)
Total output lines: 201

﻿Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №50-16: видеообзор,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/50-16.mp4,Проекты частных домов,00:01,"Проект дома №50-16. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 550 м²; 3 этажа; габариты 12.4×18.8 м; материал — газобетон; стиль — европейский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/50-16?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7312_50-16_cinema_house_review&utm_term=proekty-chastnyh-domov,,"проект дома 50-16, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 550 м², газобетон, европейский"
Дом №59-99K: планы и фасады,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/59-99K.mp4,Готовые проекты домов,00:01,"Проект дома №59-99K. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 142,8 м²; 2 этажа; габариты 8×11.4 м; материал — кирпич; стиль — скандинавский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/59-99K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7313_59-99k_facade_filmstrip&utm_term=gotovye-proekty-domov,,"проект дома 59-99K, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 142,8 м², кирпич, скандинавский"
Проект №49-45: архитектура крупным планом,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/49-45.mp4,Планировки загородных домов,00:01,"Проект дома №49-45. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 170,4 м²; 2 этажа; габариты 11.7×12 м; материал — газобетон; стиль — европейский. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/49-45?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7314_49-45_dark_architecture&utm_term=planirovki-zagorodnyh-domov,,"проект дома 49-45, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 170,4 м², газобетон, европейский"
Дом №34-35: готовая планировка в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/34-35.mp4,Красивые фасады домов,00:01,"Проект дома №34-35. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 243,4 м²; 2 этажа; габариты 11×15.6 м; материал — кирпич; стиль — европейский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/34-35?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7315_34-35_plan_to_house&utm_term=krasivye-fasady-domov,,"проект дома 34-35, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 243,4 м², кирпич, европейский"
Проект дома №57-25A: четыре фасада,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/57-25A.mp4,Архитектура частного дома,00:01,"Проект дома №57-25A. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 279,5 м²; 2 этажа; габариты 12.1×16.7 м; материал — газобетон; стиль — европейский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/57-25A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7316_57-25a_cinema_house_review&utm_term=arhitektura-chastnogo-doma,,"проект дома 57-25A, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 279,5 м², газобетон, европейский"
Дом №58-66FB: короткий обзор проекта,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/58-66FB.mp4,Дома с планами и фасадами,00:01,"Проект дома №58-66FB. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 192,84 м²; 2 этажа; габариты 11.46×16.42 м; материал — газобетон; стиль — английский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/58-66FB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7317_58-66fb_facade_filmstrip&utm_term=doma-s-planami-i-fasadami,,"проект дома 58-66FB, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 192,84 м², газобетон, английский"
Проект дома №58-24L: видеообзор,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/58-24L.mp4,Двухэтажные проекты домов,00:01,"Проект дома №58-24L. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 176,21 м²; 2 этажа; габариты 11.36×14.06 м; материал — газобетон; стиль — английский. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/58-24L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7318_58-24l_dark_architecture&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 58-24L, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 176,21 м², газобетон, английский"
Дом №47-52: планы и фасады,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/47-52.mp4,Проекты частных домов,00:01,"Проект дома №47-52. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 135,1 м²; 2 этажа; габариты 9.48×11.38 м; материал — кирпич; стиль — европейский. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/47-52?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7319_47-52_plan_to_house&utm_term=proekty-chastnyh-domov,,"проект дома 47-52, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 135,1 м², кирпич, европейский"
Проект №58-11AL: архитектура крупным планом,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/58-11AL.mp4,Готовые проекты домов,00:01,"Проект дома №58-11AL. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 294,63 м²; 2 этажа; габариты 11.85×15.55 м; материал — газобетон; стиль — современный. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/58-11AL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7320_58-11al_cinema_house_review&utm_term=gotovye-proekty-domov,,"проект дома 58-11AL, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 294,63 м², газобетон, современный"
Дом №30-59: готовая планировка в видео,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-assets/pinterest/generated_batch_40_random_cinema_video/30-59.mp4,Красивые фасады домов,00:01,"Проект дома №30-59. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 446 м²; 3 этажа; габариты 22.8×25.08 м; материал — кирпич. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/30-59?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_random_cinema_video_batch_40&utm_content=pin_7321_30-59_facade_filmstrip&utm_term=krasivye-fasady-domov,,"проект дома 30-59, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 446 м², кирпич"
